PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
197376681,19021785,6,2019-02-03T11:30:00,"8300 Block Frankstown Ave Pittsburgh, PA 15221",N,East Hills,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1306,9,2,-79.8795925978048,40.4551525660807
197377107,19021799,99,2019-02-03T12:05:00,"3100 Block Centre Ave Pittsburgh, PA 15219",N,Upper Hill,2,LOST PROPERTY,9504 Lost Property,506,6,3,-79.9620209823228,40.4488429302504
195921449,19007697,99,2019-01-12T15:54:00,"Hamilton Ave & Collier St Pittsburgh, PA 15208",Y,Homewood South,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 3334 Turning Movements and Required Signals.,1303,9,2,-79.8929956335964,40.4536074580943
195965732,19008424,6,2019-01-13T18:01:00,"2100 Block Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,501,6,3,-79.9788764417094,40.4443711190007
196317108,19011144,6,2019-01-17T18:00:00,"100 Block Grimes Ave Pittsburgh, PA 15210",N,Knoxville,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,3001,3,5,-79.9929703534726,40.4139085059607
196340282,19011467,6,2019-01-18T06:50:00,"3800 Block Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",405,3,3,-79.9567094950825,40.4415218239448
196350771,19011595,14,2019-01-18T11:20:00,"1500 Block Boyle St Pittsburgh, PA 15212",N,Central North Side,1,CRIM MISCHIEF,3304 Criminal Mischief.,2206,6,1,-80.0064831409699,40.4584781038921
196356185,19011618,11,2019-01-18T12:27:00,"4000 Block Cabinet St Pittsburgh, PA 15224",N,Bloomfield,5,IDENTITY THEFT,4120 Identity Theft,903,,,0,0
196382043,19011876,6,2019-01-18T19:30:00,"1400 Block Dickson St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT FROM AUTO,3934 Theft from Vehicle,2715,1,1,-80.0318899879814,40.4696875799778
196397445,19012193,21,2019-01-19T08:35:00,"I-376 Ramp & Beechwood Blvd Pittsburgh, PA 15217",Y,Greenfield,4,DUI - GENERAL IMPAIRMENT,3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3736 Reckless Driving / 3802(a)(1) DUI - General Impairment,1517,,,0,0
196092088,19009690,6,2019-01-15T16:35:00,"300 Block 6th Ave Pittsburgh, PA 15222",N,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-79.99945506805,40.4416587139748
196450182,19012925,11,2019-01-18T23:59:00,"5600 Block Broad St Pittsburgh, PA 15206",N,Garfield,5,CREDIT CARDS,4106 Access Device Fraud,1114,,,0,0
196450316,19012951,99,2019-01-20T18:11:00,"2000 Block Centre Ave Pittsburgh, PA 15219",Y,Crawford-Roberts,2,AIDED CASE,9497 Aided Case,305,6,3,-79.9799824053927,40.4435889103073
196629213,19014169,6,2019-01-22T18:57:00,"2300 Block Noblestown Rd Pittsburgh, PA ",N,Oakwood,6,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2812,2,5,-80.0543527688347,40.4278403004268
196632429,19014127,99,2019-01-22T17:53:00,"1800 Block Jancey St Pittsburgh, PA 15206",N,Morningside,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1014,7,2,-79.9265021538613,40.4859242904591
195887026,19007030,99,2019-01-11T16:58:00,"Sandusky St N & Parkhurst St Pittsburgh, PA 15212",Y,Central North Side,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2206,1,1,-80.0049114311411,40.4570249045414
196012957,19009053,99,2019-01-14T15:38:00,"800 Block 5th Ave Pittsburgh, PA 15219",N,Bluff,2,MENTAL 201/302,9498 302 (Mental),103,6,6,-79.9919589011416,40.4388486761552
196853238,19016207,0,2019-01-23T15:00:00,"900 Block Itin St Pittsburgh, PA 15212",N,East Allegheny,1,99,9999 9999 - (Misc. Incident): Custody Dispute,2304,1,1,-79.9954930470479,40.4581362254477
196862978,19016444,27,2019-01-26T01:45:00,"400 Block North Shore Dr Pittsburgh, PA 15212",N,North Shore,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2205,1,6,-80.0123399020422,40.4462710224947
196864205,19016463,14,2019-01-26T02:20:00,"Morewood Ave & Baum Blvd Pittsburgh, PA 15213",N,Bloomfield,5,CRIM MISCHIEF,3304 Criminal Mischief.,804,7,2,-79.9452166626361,40.4549778694509
196866644,19016559,10,2019-01-26T03:25:00,"1000 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,2108,6,1,-80.0189379796765,40.4515271772804
196872172,19016596,6,2019-01-26T09:37:00,"2300 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT FROM AUTO,3934 Theft from Vehicle,2614,6,1,-80.0110936313042,40.4663093443434
196449547,19012584,23,2019-01-20T00:49:00,"1500 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,1702,3,3,-79.9833100173741,40.4286928036566
196450044,19012933,0,2019-01-20T10:00:00,"100 Block Rhine Pl Pittsburgh, PA 15212",N,Spring Hill-City View,1,99,9999 9999 - (Misc. Incident): ,2620,1,1,-79.9920418451489,40.4653596489546
196450362,19012976,14,2019-01-20T19:30:00,"600 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,CRIM MISCHIEF,3304 Criminal Mischief. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,2304,1,1,-79.9989780720766,40.4539777944947
196450769,19013016,29,2019-01-20T20:05:00,"700 Block Ceres Way Pittsburgh, PA 15210",N,Allentown,3,RUNAWAYS - JUVENILE,029 Missing Juvenile,1803,3,5,-79.9958162294034,40.4232440338936
196457642,19013140,23,2019-01-21T01:18:00,"2900 Block S Water St Pittsburgh, PA 15203",N,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,1609,3,3,-79.9624687795453,40.4271750168006
196458969,19013165,17,2019-01-21T03:02:00,"Bentley Dr & Kirkpatrick St Pittsburgh, PA 15219",Y,Terrace Village,2,INCEST,4302 Periods for Requiring Lighted Lamps. / 13(a)(31) Marijuana: Possession Small Amount / 3733 Fleeing or Attempting to Elude Police Officer / 1543 Driving While Operating Privilege is Suspended or Revoked.,511,6,3,-79.9739517855303,40.4408612288515
196529746,19013490,99,2019-01-21T17:00:00,"Oakwood St & Bennett St Pittsburgh, PA 15221",Y,Homewood South,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1304,9,2,-79.8856522299568,40.4540344303134
196563877,19013740,10,2019-01-22T02:23:00,"70 Block Haberman Ave Pittsburgh, PA 15211",N,Mount Washington,3,SIMPLE ASSAULT,2701 Simple Assault.,1807,3,5,-80.0027339153732,40.424099792816
197378899,19021875,6,2019-02-03T04:19:00,"200 Block Birmingham Ave Pittsburgh, PA 15210",N,Carrick,3,THEFT FROM AUTO,3934 Theft from Vehicle,2902,4,3,-79.9862542019212,40.4022478620327
197389144,19021864,14,2019-02-03T14:49:00,"2500 Block Spring Garden Ave Pittsburgh, PA 15212",Y,Spring Garden,1,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2412,1,1,-79.9877386239843,40.4727868429633
197393830,19021621,23,2019-02-03T01:10:00,"S 17th St & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct.,1702,3,3,-79.9820508989135,40.4288428977868
197397531,19021643,0,2019-02-03T04:40:00,"Crawford St & Wylie Ave Pittsburgh, PA 15219",Y,Central Business District,2,99,3334 Turning Movements and Required Signals. / 4524 Windshield Obstructions and Wipers.,201,6,6,-79.9872186405178,40.4427077990248
197399032,19022201,99,2019-02-04T03:48:00,"4200 Block Main St Pittsburgh, PA 15224",N,Bloomfield,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),903,7,2,-79.9544019071416,40.4648932051878
197404994,19021833,11,2019-02-03T13:36:00,"200 Block Federal St Pittsburgh, PA 15212",N,Allegheny Center,1,CREDIT CARDS,4106 Access Device Fraud,2204,1,6,-80.0039635417819,40.4484213102204
197409527,19022264,6,2019-02-04T05:45:00,"6700 Block Mc Pherson Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,THEFT FROM AUTO,3934 Theft from Vehicle,1405,9,2,-79.9105910308949,40.4554759836116
197411697,19022286,6,2019-02-04T06:30:00,"1100 Block W North Ave Pittsburgh, PA 15233",N,Manchester,1,THEFT FROM AUTO,3934 Theft from Vehicle,2107,6,1,-80.020736923981,40.4531531113907
197413776,19022292,6,2019-02-04T08:00:00,"800 Block Highview St Pittsburgh, PA 15206",N,Morningside,5,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1014,,,0,0
-3206052498,19022291,99,2019-02-04T08:50:00,"5200 Block Poe Way Pittsburgh, PA 15201",N,Upper Lawrenceville,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1011,7,2,-79.950976202091,40.4780067189663
197420733,19022357,6,2019-02-04T10:00:00,"Vodeli St Pittsburgh, PA 15216",N,Beechview,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1920,,,0,0
195915436,19007569,27,2019-01-12T08:00:00,"1100 Block Chislett St Pittsburgh, PA 15206",N,Morningside,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1014,7,2,-79.9294905782466,40.4770645509073
196004029,19008949,27,2019-01-14T14:01:00,"40 Block S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,,,-79.9055298797069,40.4078659962369
196182781,19007997,23,2019-01-13T01:05:00,"1600 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct.,1702,3,3,-79.9826498409866,40.428754714415
196187458,19010386,0,2019-01-16T16:13:00,"Market St Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-80.0045158761078,40.4378372540688
196263844,19006425,17,2019-01-10T07:00:00,Zone 6,Y,,6,SEXUAL ASSAULT,3124.1 Sexual Assault / 9999 9999 - (Misc. Incident): ,,,,,
196345670,19011483,0,2019-01-18T08:00:00,"6900 Block Hamilton Ave Pittsburgh, PA 15208",N,Homewood West,5,99,9999 9999 - (Misc. Incident): Found bicycles,1207,9,2,-79.9047251973376,40.4562718127453
196373056,19011679,18,2019-01-18T14:23:00,"1200 Block Hollywood St Pittsburgh, PA 15205",Y,Crafton Heights,6,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,2815,,,0,0
196400431,19012276,0,2019-01-19T12:05:00,"1500 Block Amanda St Pittsburgh, PA 15210",N,Carrick,3,99,9999 9999 - (Misc. Incident): ,2902,4,3,-79.988436607001,40.4008838787087
196401030,19012310,6,2019-01-19T08:30:00,"3400 Block Harrisburg St Pittsburgh, PA 15204",N,Windgap,6,THEFT FROM AUTO,3934 Theft from Vehicle,2807,2,5,-80.0717191728559,40.4514054090749
196401555,19012316,6,2019-01-19T08:30:00,"1500 Block Evanston St Pittsburgh, PA 15204",N,Windgap,6,THEFT FROM AUTO,3934 Theft from Vehicle,2807,2,5,-80.0708485907339,40.4524052939893
196796341,19015558,4,2019-01-24T19:54:00,"1800 Block Niggel St Pittsburgh, PA 15212",Y,Troy Hill,1,AGG-ASSAULT,2702 Aggravated Assault. / 2702 Aggravated Assault.,2406,1,1,-79.9800611569912,40.467811687664
196849989,19016084,0,2019-01-25T16:04:00,"500 Block Morgan St Pittsburgh, PA 15219",N,Middle Hill,2,99,9999 9999 - (Misc. Incident): Property Dispute,501,,,0,0
196850252,19016112,27,2019-01-25T16:26:00,"Turrett St & Meadow St Pittsburgh, PA 15206",N,Larimer,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1204,9,2,-79.9104304102707,40.4616274013028
196865091,19016538,0,2019-01-26T05:26:00,"2300 Block Fremont Pl Pittsburgh, PA 15216",Y,Beechview,6,99,9093 Indirect Criminal Contempt,1920,4,5,-80.0309766303975,40.4023239972252
196865849,19015983,0,2019-01-25T13:20:00,"900 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): ,1918,4,5,-80.0191898061447,40.3928794375987
196710848,19014694,99,2019-01-23T14:09:00,"300 Block Pensdale St Pittsburgh, PA 15205",Y,Elliott,6,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2020,2,5,-80.0642103804596,40.4278132751453
196789055,19015195,10,2019-01-16T00:01:00,"2600 Block Brackenridge St Pittsburgh, PA 15219",N,Terrace Village,2,SIMPLE ASSAULT,2701 Simple Assault.,510,6,3,-79.9674183042414,40.4458999540591
196873702,19016675,0,2019-01-26T12:30:00,"600 Block Wenzell Ave Pittsburgh, PA 15216",N,Beechview,6,99,9093 Indirect Criminal Contempt,1920,2,5,-80.0334289706049,40.4040559957993
196873711,19016640,26,2019-01-26T11:25:00,"800 Block Citadel St Pittsburgh, PA 15204",N,Sheraden,6,UNLAWFUL RESTRAINT,2902 Unlawful Restraint. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2022,2,5,-80.0583203033768,40.4550618242631
196880471,19016850,27,2019-01-26T19:21:00,"W Carson St & Station Square Dr W Pittsburgh, PA 15219",N,South Shore,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1921,2,5,-80.0189126969912,40.440697417899
196881247,19016875,0,2019-01-26T19:53:00,"1700 Block Lowrie St Pittsburgh, PA 15212",N,Troy Hill,1,99,9093 Indirect Criminal Contempt,2406,1,1,-79.9826568143613,40.4639525304904
196891337,19017030,14,2019-01-27T00:27:00,"200 Block East Commons  E Pittsburgh, PA 15212",N,Allegheny Center,1,CRIM MISCHIEF,3304 Criminal Mischief.,2204,1,1,-80.0065023515458,40.4500226780704
196639740,19014276,27,2019-01-22T22:11:00,"1600 Block Fallowfield Ave Pittsburgh, PA 15216",N,Beechview,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1920,4,5,-80.0239689958174,40.4104873024514
196674086,19014466,6,2019-01-22T23:49:00,"800 Block Inwood St Pittsburgh, PA 15208",N,Homewood West,5,THEFT FROM AUTO,3934 Theft from Vehicle,1207,9,2,-79.9049807912801,40.4581829477113
196723732,19014836,0,2019-01-23T07:45:00,"1200 Block N Lang Ave Pittsburgh, PA 15208",N,Homewood North,5,99,2709(a)(2) Harassment by Following Person in Public Place(s),1302,9,2,-79.8975255871224,40.4607625840552
196730451,19014703,20,2019-01-23T14:43:00,"400 Block Kilbourne St Pittsburgh, PA 15207",Y,Hazelwood,4,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children.,1515,5,3,-79.9374528807009,40.411252815916
197425268,19010598,5,2019-01-16T21:55:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Marshall-Shadeland,2,BURGLARY,3502 Burglary. / 2701 Simple Assault. / 2706 Terroristic Threats. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,103,6,6,-79.9931846836602,40.4350718181921
197430136,19022395,11,2019-02-04T10:35:00,"2000 Block Woodward Ave Pittsburgh, PA 15226",N,Brookline,6,IMPERSONATING A PUBLIC SERVANT,4912 Impersonating a Public Servant. / 901 Criminal Attempt,1917,,,0,0
197430615,19022397,11,2019-02-04T11:54:00,"500 Block Aspen St Pittsburgh, PA 15224",N,Bloomfield,5,IDENTITY THEFT,4120 Identity Theft,804,,,-79.9055435976833,40.3716967444566
197438729,19022480,14,2019-02-04T12:45:00,"200 Block Reifert St Pittsburgh, PA 15210",N,Knoxville,3,CRIM MISCHIEF,3304 Criminal Mischief.,3001,3,5,-79.9921143140098,40.4081378138272
197456069,19022405,15,2019-02-04T12:01:00,"400 Block Beltzhoover Ave Pittsburgh, PA 15210",Y,Beltzhoover,3,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License. / 903 Criminal Conspiracy. / 6110.1 Possesion of Firearm by Minor,1809,3,5,-79.9975170577404,40.4190222319413
197465161,19018775,17,2019-01-18T16:00:00,Zone 5,N,,5,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
197465942,19022782,10,2019-01-30T18:30:00,"300 Block Heinz St Pittsburgh, PA 15212",Y,Troy Hill,1,SIMPLE ASSAULT,2701 Simple Assault.,2406,1,1,-79.9910584670388,40.4541989210195
197469214,19022801,18,2019-02-04T21:21:00,"Hazelwood Ave & Bigelow St Pittsburgh, PA 15207",Y,Hazelwood,4,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 3361  Driving Vehicle at Safe Speed.,1501,5,3,-79.9336359606893,40.4196913528033
197471394,19022803,5,2019-02-04T14:30:00,"5800 Block Wellesley Ave Pittsburgh, PA 15206",N,Highland Park,5,BURGLARY,3502 Burglary.,1102,7,2,-79.9223732831336,40.4731084438083
197473303,19022223,10,2019-02-04T04:30:00,"1800 Block Perrott St Pittsburgh, PA 15212",N,Brighton Heights,1,HARRASSMENT,2709(a) Harassment.,2701,1,1,-80.040725578783,40.4875774361056
197474548,19022241,10,2019-02-04T05:25:00,"300 Block JHF Dr Pittsburgh, PA 15217",N,Squirrel Hill South,4,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(4) Harassment Communicates Prohibited Acts / 2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours / 2709.2 Stalking Conduct or Repeatedly Communicates,1414,5,3,-79.9191665434985,40.4142245619213
197478043,19022921,18,2019-02-05T02:14:00,"Beaver Ave & Eckert St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 1786 Required Financial Responsibility. / 1543 Driving While Operating Privilege is Suspended or Revoked.,2704,,,0,0
196023117,19009105,99,2019-01-14T18:06:00,"600 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,AIDED CASE,9497 Aided Case,1918,4,5,-80.0224888861346,40.3952287840366
196399618,19012245,11,2019-01-19T00:01:00,"900 Block Rossmore Ave Pittsburgh, PA 15226",N,Brookline,6,CREDIT CARDS,4120 Identity Theft / 4106 Access Device Fraud,1919,4,5,-80.0176450825751,40.3941383145478
196400224,19012267,99,2019-01-19T11:35:00,"40 Block Clearview Ave Pittsburgh, PA 15205",N,Westwood,6,ACCIDENTAL FIRE,9018 Accidental Fire,2811,2,5,-80.0519314014712,40.4373327672162
196410738,19011873,27,2019-01-18T19:20:00,"West Liberty Ave & Saw Mill Run Blvd Ramp Pittsburgh, PA 15226",N,Bon Air,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1806,,,0,0
196410920,19012351,6,2019-01-17T19:00:00,"900 Block Mifflinridge Rd Pittsburgh, PA 15207",N,Lincoln Place,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,3102,,,0,0
196411073,19012348,6,2019-01-19T15:00:00,"1000 Block Tyndall St Pittsburgh, PA 15204",N,Sheraden,6,THEFT FROM AUTO,3934 Theft from Vehicle / 4106 Access Device Fraud,2022,2,5,-80.0589101569116,40.4530947754298
196411436,19012360,6,2019-01-19T15:00:00,"1500 Block Tyndall St Pittsburgh, PA 15204",N,Sheraden,6,THEFT FROM AUTO,3934 Theft from Vehicle,2022,2,5,-80.0637457684885,40.449945100557
196440550,19010181,99,2019-01-16T11:30:00,"5800 Block Maeburn Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,FOUND PROPERTY,9489 Found Property,1414,5,3,-79.9235494532038,40.4289518960012
196470170,19012855,27,2019-01-20T13:15:00,"100 Block N Euclid Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1115,9,2,-79.9278017823186,40.4625405440263
196529402,19013462,5,2019-01-21T15:28:00,"4900 Block Kincaid St Pittsburgh, PA 15224",N,Garfield,5,BURGLARY,3502 Burglary.,1017,9,2,-79.944692448937,40.467524623881
196550045,19013458,27,2019-01-21T14:30:00,"1300 Block Washington Blvd Pittsburgh, PA 15206",N,Larimer,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1204,9,2,-79.9088159227104,40.4681128067871
-3261062225,19016707,27,2019-01-26T13:30:00,"sixth Ave & Centre Ave Pittsburgh, PA 15219",N,Strip District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,203,6,6,-79.9941809998118,40.4399786302627
196876540,19016738,6,2019-01-26T15:30:00,"1800 Block Jancey St Pittsburgh, PA 15206",Y,Morningside,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1014,7,2,-79.9265021538613,40.4859242904591
196879829,19016822,18,2019-01-26T18:35:00,"Muriel St & S 11th St Pittsburgh, PA 15203",Y,South Side Flats,3,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 3111 Obedience to Traffic-Control Devices.,1702,3,3,-79.9875386077843,40.4300609506268
195898302,19007197,10,2019-01-11T21:27:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",Y,Fineview,1,SIMPLE ASSAULT,2701 Simple Assault.,2509,6,1,-80.0069833937371,40.460310552493
195971193,19008565,6,2019-01-13T22:00:00,"2100 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1609,3,3,-79.9761229323826,40.4274305580602
196132196,19010129,10,2019-01-15T08:30:00,"50 Block Greenbush St Pittsburgh, PA 15211",N,Mount Washington,3,HARRASSMENT,2709 Harassment (Non-Specific) / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1914,2,5,-80.0082260064408,40.427661403481
196134228,19010149,27,2019-01-16T08:15:00,"200 Block Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,708,5,3,-79.9206368616233,40.4300360653198
196143472,19010199,11,2019-01-15T18:00:00,"3600 Block California Ave Pittsburgh, PA 15212",N,Brighton Heights,1,CREDIT CARDS,4106 Access Device Fraud / 4120 Identity Theft,2701,1,1,-80.0408607014066,40.4804207439451
196152322,19010241,6,2019-01-16T12:17:00,"2500 Block West Liberty Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1919,4,5,-80.0254967571288,40.3991926113208
196896647,19017252,0,2019-01-27T10:00:00,"4800 Block Friendship Ave Pittsburgh, PA 15224",N,Bloomfield,5,99,9093 Indirect Criminal Contempt,809,7,2,-79.9462630434165,40.4621317678597
196902983,19017397,6,2019-01-27T12:00:00,"1300 Block W North Ave Pittsburgh, PA 15233",N,Manchester,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2107,6,1,-80.024333828767,40.4526748946748
196908446,19017446,0,2019-01-27T16:00:00,"7400 Block Penfield Ct Pittsburgh, PA 15208",N,Point Breeze North,4,99,9999 9999 - (Misc. Incident): ,1405,9,2,-79.8976796047495,40.4487098666525
196317891,19011153,18,2019-01-17T18:16:00,"Camfield St & Abner Ave Pittsburgh, PA 15210",Y,Bon Air,3,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance,1806,4,5,-79.9982869400394,40.4085990595601
196497680,19013360,6,2019-01-21T12:00:00,"900 Block Freeport Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1201,9,2,-79.8923529450752,40.4861185015656
196612097,19014030,27,2019-01-22T15:09:00,"3400 Block Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3310 Following Too Closely.,405,3,3,-79.9609006805401,40.4384190708353
196712608,19014709,10,2019-01-23T10:00:00,"1500 Block Hetzel St Pittsburgh, PA 15212",Y,Spring Hill-City View,1,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,2620,,,0,0
196716129,19014763,14,2019-01-23T16:00:00,"3800 Block Harpen Rd Pittsburgh, PA 15214",N,Summer Hill,1,CRIM MISCHIEF,3304 Criminal Mischief.,2612,,,0,0
196732552,19014950,14,2019-01-23T21:30:00,"200 Block S Millvale Ave Pittsburgh, PA 15224",N,Bloomfield,5,CRIM MISCHIEF,3304 Criminal Mischief.,809,7,2,-79.9457223576116,40.4648634313753
196733645,19014952,0,2019-01-23T21:42:00,"2200 Block Arlington Ave Pittsburgh, PA 15210",N,Arlington,3,99,3742 Accidents Involving Death or Personal Injury,1603,3,3,-79.9758779175462,40.4168449750197
197480128,19022992,99,2019-02-05T05:20:00,"5700 Block Bunkerhill St Pittsburgh, PA 15206",N,Highland Park,5,AIDED CASE,9497 Aided Case,1102,7,2,-79.9196463963548,40.4788613186758
197492443,19023020,6,2019-02-05T07:26:00,"20 Block St Leo St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1706,3,3,-79.9789494294455,40.4222718813129
197505361,19023131,9,2019-02-05T10:00:00,"5800 Block Bartlett St Pittsburgh, PA 15217",N,Squirrel Hill South,4,FORGERY,4101 Forgery. / 4120 Identity Theft / 4105(a)(1) Bad Checks,1408,5,3,-79.9228458630855,40.4360233403148
-3199000831,19023212,99,2019-02-05T13:17:00,"300 Block S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,AIDED CASE,9497 Aided Case,1702,3,3,-79.9898778029463,40.4302739266153
197524168,18249008,99,2019-02-05T13:45:00,"600 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,ARREST ON ATTACHMENT ORDER,9015 Failure To Appear/Arrest on Attachment Order,2204,1,1,-79.9989780720766,40.4539777944947
197528091,19023237,18,2019-02-05T13:45:00,"600 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,2304,1,1,-79.9989780720766,40.4539777944947
197533929,19023257,0,2019-02-05T14:21:00,"Reedsdale St & Lighthill St Pittsburgh, PA 15233",N,Chateau,1,99,7728 Accidents and Accident Reports.,2108,6,1,-80.0239229698178,40.4486817352708
197539579,19023284,6,2019-02-05T02:30:00,"2100 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 903 Criminal Conspiracy.",1609,3,3,-79.9760719669211,40.4283146103025
197543431,19023381,11,2019-02-04T12:00:00,"1400 Block Harris Ave Pittsburgh, PA 15205",N,Westwood,6,CREDIT CARDS,4106 Access Device Fraud,2811,2,5,-80.0545374103665,40.4335303149284
197549517,19023437,0,2019-02-05T18:58:00,"200 Block Spencer Ave Pittsburgh, PA 15227",N,Carrick,3,99,9999 9999 - (Misc. Incident): ,2904,,,0,0
